date,day_of_week,week_start,month,is_weekend,user_id,income_inr,total_expenses_inr,net_cash_flow_inr,daily_budget_inr,budget_variance_inr,cash_balance_inr,debt_balance_inr,essential_expenses_inr,discretionary_expenses_inr,financial_risk_score,finance_compliance_status,study_hours,focus_rating,focus_score,tasks_planned,tasks_completed,learning_risk_score,habit_completion_rate,average_habit_streak,sleep_hours,steps,water_liters,mood_score,stress_score,screen_time_hours,goal_progress_score,compliance_score,overall_risk_score,risk_level,active_alerts,productivity_score
2025-09-06,Saturday,2025-09-01,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,765,-765,2600,-1835,119235,180000,765,0,65,NON_COMPLIANT,0,,,0,0,62,0.25,0.2,7.5,6116,1.6,3.6,2.8,6.2,33,64,59,HIGH,1,38
2025-09-07,Sunday,2025-09-01,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1757,-1757,2600,-843,117478,180000,899,858,65,NON_COMPLIANT,2.2,4,79,2,2,21,0.6,0.5,7.8,4740,2,4,2.2,6.2,19,78,41,MEDIUM,0,79
2025-09-08,Monday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1916,-1916,2100,-184,115562,180000,1117,799,65,NON_COMPLIANT,0,,,0,0,62,0.5,0.8,7.3,6045,1.8,4.3,1.9,5.7,33,68,55,MEDIUM,0,45
2025-09-09,Tuesday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1776,-1776,2100,-324,113786,180000,1776,0,65,NON_COMPLIANT,1,4,79,3,3,29,1,1.5,7.3,10599,2.3,3.8,2.7,6.3,38,84,37,LOW,0,91
2025-09-10,Wednesday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,8000,-8000,2100,5900,105786,172000,8000,0,75,NON_COMPLIANT,2.1,4,80,3,3,20,0.75,1.7,7.1,4275,1.9,4.2,2.8,4.9,25,79,42,MEDIUM,0,84
2025-09-11,Thursday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,102,-102,2100,-1998,105684,172000,102,0,65,NON_COMPLIANT,3.1,3,64,2,2,36,0.5,1.5,6.6,6179,1.9,3.9,2.7,6.2,44,73,47,MEDIUM,0,69
2025-09-12,Friday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,515,-515,2100,-1585,105169,172000,0,515,65,NON_COMPLIANT,0,,,0,0,62,0.5,1.8,7.6,4983,2.1,3.6,2.1,6.2,45,68,55,MEDIUM,0,45
2025-09-13,Saturday,2025-09-08,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1819,-1819,2600,-781,103350,172000,581,1238,65,NON_COMPLIANT,0,,,0,0,62,0.75,2.3,7.7,8012,2,4.5,1.9,6.1,47,74,50,MEDIUM,0,53
2025-09-14,Sunday,2025-09-08,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,918,-918,2600,-1682,102432,172000,351,567,65,NON_COMPLIANT,2.5,3,63,5,4,37,0.6,1.3,7.1,6653,1.6,3.7,2.7,7,52,74,47,MEDIUM,0,66
2025-09-15,Monday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,873,-873,2100,-1227,101559,172000,873,0,65,NON_COMPLIANT,2.7,3,67,3,2,33,1,2,6.7,11334,2.1,4.3,2,6,40,83,38,MEDIUM,0,77
2025-09-16,Tuesday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,931,-931,2100,-1169,100628,172000,931,0,65,NON_COMPLIANT,2.9,3,68,3,2,32,1,2.7,7.5,9140,1.9,4.2,2.4,6.2,48,83,38,MEDIUM,0,77
2025-09-17,Wednesday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,310,-310,2100,-1790,100318,172000,310,0,65,NON_COMPLIANT,0,,,0,0,62,1,3.3,6.8,5016,2.2,3.9,2.3,5.3,47,77,47,MEDIUM,0,60
2025-09-18,Thursday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,6409,1426,4983,2100,-674,105301,172000,125,1301,95,NON_COMPLIANT,0,,,0,0,62,0.75,3.2,6.6,9460,2.1,4,2.4,5.3,50,65,63,HIGH,0,53
2025-09-19,Friday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,396,-396,2100,-1704,104905,172000,396,0,95,NON_COMPLIANT,2.8,3,63,2,2,37,0.5,2.2,6.6,5818,1.7,4,3.1,6.3,53,65,60,HIGH,0,68
2025-09-20,Saturday,2025-09-15,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1449,-1449,2600,-1151,103456,172000,0,1449,95,NON_COMPLIANT,0,,,0,0,62,1,2.8,7.9,10465,1.8,3.4,2.6,7,58,69,60,HIGH,0,60
2025-09-21,Sunday,2025-09-15,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1758,-1758,2600,-842,101698,172000,0,1758,95,NON_COMPLIANT,1.5,3,60,4,3,44,0.6,1.3,7.1,4456,1.6,3.9,2.8,6.2,43,66,60,HIGH,0,64
2025-09-22,Monday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,588,-588,2100,-1512,101110,172000,588,0,95,NON_COMPLIANT,0,,,0,0,62,0.75,1.8,7.6,11489,1.7,3.2,3,5.7,37,65,63,HIGH,0,53
2025-09-23,Tuesday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,221,-221,2100,-1879,100889,172000,221,0,95,NON_COMPLIANT,2.7,3,65,4,3,35,0.75,2.2,7.4,9977,1.6,3.4,2.2,5.9,28,70,55,MEDIUM,0,71
2025-09-24,Wednesday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,375,-375,2100,-1725,100514,172000,375,0,95,NON_COMPLIANT,1.5,4,81,3,3,23,1,2.8,7.2,5029,2.1,3.9,2.7,5.2,46,77,48,MEDIUM,0,91
