date,day_of_week,week_start,month,is_weekend,user_id,income_inr,total_expenses_inr,essential_expenses_inr,discretionary_expenses_inr,housing_inr,food_inr,transport_inr,utilities_inr,debt_payment_inr,education_inr,healthcare_inr,dining_inr,shopping_inr,entertainment_inr,subscriptions_inr,net_cash_flow_inr,daily_budget_inr,budget_variance_inr,cash_balance_inr,debt_balance_inr,study_subject,study_hours,focus_rating,focus_score,tasks_planned,tasks_completed,study_tool,learning_risk_score,exercise_scheduled,exercise_completed,exercise_minutes,exercise_streak,reading_scheduled,reading_completed,reading_minutes,reading_streak,meditation_scheduled,meditation_completed,meditation_minutes,meditation_streak,sleep_before_11_scheduled,sleep_before_11_completed,sleep_before_11_streak,budget_review_scheduled,budget_review_completed,budget_review_streak,meal_prep_scheduled,meal_prep_completed,meal_prep_streak,habit_completion_rate,average_habit_streak,sleep_hours,steps,water_liters,mood_score,stress_score,screen_time_hours,savings_goal_progress,study_goal_progress,exercise_goal_progress,reading_goal_progress,debt_goal_progress,sleep_goal_progress,overall_goal_progress_score,financial_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,compliance_score,risk_level,active_alerts,productivity_score
2025-09-06,Saturday,2025-09-01,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,765,765,0,0,765,0,0,0,0,0,0,0,0,0,-765,2600,-1835,119235,180000,,0,,,0,0,,62,true,false,0,0,true,true,32,1,true,false,0,0,true,false,0,false,false,0,false,false,0,0.25,0.2,7.5,6116,1.6,3.6,2.8,6.2,0,0,0,1.28,0,1.0417,33,65,62,47,59,64,HIGH,1,38
2025-09-07,Sunday,2025-09-01,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1757,899,858,0,0,0,899,0,0,0,858,0,0,0,-1757,2600,-843,117478,180000,Data Analytics,2.2,4,79,2,2,Video and notes,21,false,false,0,0,true,false,0,0,true,true,10,1,true,false,0,true,true,1,true,true,1,0.6,0.5,7.8,4740,2,4,2.2,6.2,0,0.1571,0,0,0,1.0833,19,65,21,26,41,78,MEDIUM,0,79
2025-09-08,Monday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1916,1117,799,0,719,398,0,0,0,0,0,0,0,799,-1916,2100,-184,115562,180000,,0,,,0,0,,62,true,false,0,0,true,true,42,1,true,true,17,2,true,false,0,false,false,1,false,false,1,0.5,0.8,7.3,6045,1.8,4.3,1.9,5.7,0,0,0,1.5,0,1.0139,33,65,62,31,55,68,MEDIUM,0,45
2025-09-09,Tuesday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1776,1776,0,0,0,0,0,0,1776,0,0,0,0,0,-1776,2100,-324,113786,180000,Data Analytics,1,4,79,3,3,Practice problems,29,true,true,29,1,true,true,43,2,true,true,16,3,true,true,1,false,false,1,false,false,1,1,1.5,7.3,10599,2.3,3.8,2.7,6.3,0,0.0714,0.2,1.5,0,1.0139,38,65,29,3,37,84,LOW,0,91
2025-09-10,Wednesday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,8000,8000,0,0,0,0,0,8000,0,0,0,0,0,0,-8000,2100,5900,105786,172000,Database Systems,2.1,4,80,3,3,Video and notes,20,false,false,0,1,true,false,0,0,true,true,16,4,true,true,2,false,false,1,true,true,2,0.75,1.7,7.1,4275,1.9,4.2,2.8,4.9,0,0.2214,0.2,0,0.0833,0.9861,25,75,20,16,42,79,MEDIUM,0,84
2025-09-11,Thursday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,102,102,0,0,0,102,0,0,0,0,0,0,0,0,-102,2100,-1998,105684,172000,Data Structures,3.1,3,64,2,2,Video and notes,36,true,false,0,0,true,true,35,1,true,true,13,5,true,false,0,false,false,1,false,false,2,0.5,1.5,6.6,6179,1.9,3.9,2.7,6.2,0,0.4429,0.2,1.4,0.0833,0.9167,44,65,36,32,47,73,MEDIUM,0,69
2025-09-12,Friday,2025-09-08,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,515,0,515,0,0,0,0,0,0,0,515,0,0,0,-515,2100,-1585,105169,172000,,0,,,0,0,,62,true,false,0,0,true,true,35,2,true,true,9,6,true,false,0,false,false,1,false,false,2,0.5,1.8,7.6,4983,2.1,3.6,2.1,6.2,0,0.4429,0.2,1.4,0.0833,1.0556,45,65,62,32,55,68,MEDIUM,0,45
2025-09-13,Saturday,2025-09-08,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1819,581,1238,0,581,0,0,0,0,0,1238,0,0,0,-1819,2600,-781,103350,172000,,0,,,0,0,,62,true,true,47,1,true,true,23,3,true,true,18,7,true,false,0,false,false,1,false,false,2,0.75,2.3,7.7,8012,2,4.5,1.9,6.1,0,0.4429,0.4,0.92,0.0833,1.0694,47,65,62,16,50,74,MEDIUM,0,53
2025-09-14,Sunday,2025-09-08,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,918,351,567,0,351,0,0,0,0,0,0,0,567,0,-918,2600,-1682,102432,172000,Database Systems,2.5,3,63,5,4,Video and notes,37,false,false,0,1,true,true,44,4,true,false,0,0,true,true,1,true,true,2,true,false,0,0.6,1.3,7.1,6653,1.6,3.7,2.7,7,0,0.6214,0.4,1.5,0.0833,0.9861,52,65,37,29,47,74,MEDIUM,0,66
2025-09-15,Monday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,873,873,0,0,673,200,0,0,0,0,0,0,0,0,-873,2100,-1227,101559,172000,Data Analytics,2.7,3,67,3,2,Flashcards,33,true,true,38,2,true,true,44,5,true,true,12,1,true,true,2,false,false,2,false,false,0,1,2,6.7,11334,2.1,4.3,2,6,0,0.1929,0.2,1.5,0.0833,0.9306,40,65,33,3,38,83,MEDIUM,0,77
