record_id,date,goal_id,goal_type,target_value,actual_value,progress_percent,forecast_value,achievement_probability,status
5d7f9d74-4e06-44df-a18c-a907e23bca0b,2025-09-06,f516d2da-0168-4498-a19a-15c553b92083,FINANCIAL,18000,-765,0,-3825,0.05,AT_RISK
7d35ae21-40ac-4419-abac-6c013acdd9c3,2025-09-06,6e2f27d3-b0a7-41af-ae04-dd93747ab1ab,STUDY,14,0,0,0,0.08,AT_RISK
78f14867-e5db-4faa-ad02-b42af449b181,2025-09-06,942340a9-28cf-4419-a543-8fb8ad16ee20,HABIT,5,0,0,0,0.08,AT_RISK
e9355d63-3758-4cc7-af33-14cb2a1e21ed,2025-09-06,f8586d7f-42a8-40bb-a2c6-46993832c939,HABIT,25,32,1.28,32,0.99,ON_TRACK
c884ef3c-bc8a-4423-aa4b-da0564eaf8ac,2025-09-06,2d885db5-09de-4d36-abdc-c357a5253c90,FINANCIAL,96000,0,0,0,0.08,AT_RISK
b2bdbf5e-6e5b-492a-a285-de525a587840,2025-09-06,cb90e01c-ad24-4e88-a405-b3ab220b47ca,HABIT,7.2,7.5,1.0417,7.5,0.99,ON_TRACK
cd1f3195-6321-4b99-a449-3747909aad97,2025-09-07,f516d2da-0168-4498-a19a-15c553b92083,FINANCIAL,18000,-2522,0,-10808.57,0.05,AT_RISK
9bc3c5ac-cca6-42f0-a7c5-0e5ca132a47a,2025-09-07,6e2f27d3-b0a7-41af-ae04-dd93747ab1ab,STUDY,14,2.2,0.1571,2.2,0.2214,AT_RISK
6a4ca8ff-6ba5-4c11-af4c-ed1b3bd25685,2025-09-07,942340a9-28cf-4419-a543-8fb8ad16ee20,HABIT,5,0,0,0,0.08,AT_RISK
029c94c6-40d8-4bde-a342-c5da652a62bf,2025-09-07,f8586d7f-42a8-40bb-a2c6-46993832c939,HABIT,25,0,0,0,0.08,AT_RISK
a267e00d-2167-4039-aac1-1cc93e1eea90,2025-09-07,2d885db5-09de-4d36-abdc-c357a5253c90,FINANCIAL,96000,0,0,0,0.08,AT_RISK
f3d99e3a-6c93-49ca-a75a-451d8d094fef,2025-09-07,cb90e01c-ad24-4e88-a405-b3ab220b47ca,HABIT,7.2,7.8,1.0833,7.8,0.99,ON_TRACK
071c6b62-8a47-404b-a7f2-7f97b938dafe,2025-09-08,f516d2da-0168-4498-a19a-15c553b92083,FINANCIAL,18000,-4438,0,-16642.5,0.05,AT_RISK
51183aa9-6945-4f3d-a555-17781ee14569,2025-09-08,6e2f27d3-b0a7-41af-ae04-dd93747ab1ab,STUDY,14,0,0,0,0.08,AT_RISK
6160b0a4-a10d-46c2-a554-90b8ab47e335,2025-09-08,942340a9-28cf-4419-a543-8fb8ad16ee20,HABIT,5,0,0,0,0.08,AT_RISK
f9c8aa6a-bf49-4d94-af55-4f407aee61cf,2025-09-08,f8586d7f-42a8-40bb-a2c6-46993832c939,HABIT,25,42,1.5,42,0.99,ON_TRACK
12983f2b-26d0-4f86-acf1-d692e0af6d68,2025-09-08,2d885db5-09de-4d36-abdc-c357a5253c90,FINANCIAL,96000,0,0,0,0.08,AT_RISK
ea413c9c-79b2-4bde-a420-25f6b6182422,2025-09-08,cb90e01c-ad24-4e88-a405-b3ab220b47ca,HABIT,7.2,7.3,1.0139,7.3,0.99,ON_TRACK
9aa38882-c3b7-4fbc-aed1-4d3e19fab432,2025-09-09,f516d2da-0168-4498-a19a-15c553b92083,FINANCIAL,18000,-6214,0,-20713.33,0.05,AT_RISK
dd12c16b-b34b-4936-a2f7-a0735c35a76c,2025-09-09,6e2f27d3-b0a7-41af-ae04-dd93747ab1ab,STUDY,14,1,0.0714,3.5,0.2729,AT_RISK
656d660c-986d-4187-ad55-0b03b467c0a3,2025-09-09,942340a9-28cf-4419-a543-8fb8ad16ee20,HABIT,5,1,0.2,3.5,0.62,NEEDS_ATTENTION
fc84bf2e-b98b-41c4-a65c-9ace60484255,2025-09-09,f8586d7f-42a8-40bb-a2c6-46993832c939,HABIT,25,43,1.5,43,0.99,ON_TRACK
82353e4a-ce6a-4db6-a789-74af6220368a,2025-09-09,2d885db5-09de-4d36-abdc-c357a5253c90,FINANCIAL,96000,0,0,0,0.08,AT_RISK
aba8a93a-2b38-4229-ae56-86158189d60b,2025-09-09,cb90e01c-ad24-4e88-a405-b3ab220b47ca,HABIT,7.2,7.3,1.0139,7.3,0.99,ON_TRACK
4ef0474f-8695-4c8e-ab15-daa517cec0d1,2025-09-10,f516d2da-0168-4498-a19a-15c553b92083,FINANCIAL,18000,-14214,0,-42642,0.05,AT_RISK
416de829-84d3-4b6e-a644-6d2fc5236f95,2025-09-10,6e2f27d3-b0a7-41af-ae04-dd93747ab1ab,STUDY,14,3.1,0.2214,7.23,0.4919,AT_RISK
5240255e-c458-457e-a558-7dea6111e328,2025-09-10,942340a9-28cf-4419-a543-8fb8ad16ee20,HABIT,5,1,0.2,2.33,0.452,AT_RISK
88be6f7d-f78f-477d-a424-50585e5d90e9,2025-09-10,f8586d7f-42a8-40bb-a2c6-46993832c939,HABIT,25,0,0,0,0.08,AT_RISK
960ef777-0394-45bf-ab28-e854a749f3b0,2025-09-10,2d885db5-09de-4d36-abdc-c357a5253c90,FINANCIAL,96000,8000,0.0833,584000,0.99,ON_TRACK
63623f7f-acd2-458c-a0b1-58b085ecc9e2,2025-09-10,cb90e01c-ad24-4e88-a405-b3ab220b47ca,HABIT,7.2,7.1,0.9861,7.1,0.9675,ON_TRACK
9e023393-c63c-4e53-ae5d-02a9cb2c11c5,2025-09-11,f516d2da-0168-4498-a19a-15c553b92083,FINANCIAL,18000,-14316,0,-39043.64,0.05,AT_RISK
390624fe-e196-4570-a2f9-12d87489e173,2025-09-11,6e2f27d3-b0a7-41af-ae04-dd93747ab1ab,STUDY,14,6.2,0.4429,10.85,0.7177,NEEDS_ATTENTION
e0b7cebf-6dbe-4285-a9d1-7225efa850f3,2025-09-11,942340a9-28cf-4419-a543-8fb8ad16ee20,HABIT,5,1,0.2,1.75,0.368,AT_RISK
9fc945ae-10d4-4f33-a277-8daf94a80f4b,2025-09-11,f8586d7f-42a8-40bb-a2c6-46993832c939,HABIT,25,35,1.4,35,0.99,ON_TRACK
