month,month_label,total_income_inr,total_expenses_inr,net_savings_inr,savings_rate,expense_growth_rate,study_hours,average_focus_score,habit_completion_rate,average_sleep_hours,average_stress_score,goal_progress_score,compliance_score,overall_risk_score,alert_count,productivity_score,next_month_expenses_target_inr
2025-09-01,Sep 2025,6409,29436,-23027,-3.5929,,28.8,70.1,0.716,7.2,2.5,41.9,71.2,53,1,64.7,60219
2025-10-01,Oct 2025,85000,60219,24781,0.2915,1.0458,35.8,78.7,0.6677,7.3,2.5,59.4,81.7,36.4,3,66.6,68725
2025-11-01,Nov 2025,93369,68725,24644,0.2639,0.1413,48.6,80.5,0.715,7.1,2.3,64.4,82.6,35.7,6,69.9,61954
2025-12-01,Dec 2025,85000,61954,23046,0.2711,-0.0985,66.5,77.8,0.7145,7.3,3.1,68.5,83.2,34.8,7,74.5,64454
2026-01-01,Jan 2026,92569,64454,28115,0.3037,0.0404,37.9,74.2,0.6839,7.3,2.6,68.5,81.8,36.5,2,65.8,56579
2026-02-01,Feb 2026,85000,56579,28421,0.3344,-0.1222,26.5,87.9,0.7696,7.3,2.3,66.8,83.5,34.6,2,67.7,54895
2026-03-01,Mar 2026,93408,54895,38513,0.4123,-0.0298,45.7,82.3,0.7306,7.2,2,70.4,84.8,32.5,4,72.5,62566
2026-04-01,Apr 2026,88000,62566,25434,0.289,0.1397,50.1,76.6,0.7217,7.2,2.5,73.4,83.8,33.9,4,71.4,58876
2026-05-01,May 2026,97668,58876,38792,0.3972,-0.059,55.2,77.3,0.7661,7.2,3.3,77.1,83.5,34.7,6,72.1,61668
2026-06-01,Jun 2026,88000,61668,26332,0.2992,0.0474,51.3,74.7,0.7317,7.1,2.8,76.3,83.5,34.6,4,72.8,65396
2026-07-01,Jul 2026,96057,65396,30661,0.3192,0.0605,41.5,77.9,0.7435,7.2,2.3,78.1,83.1,35.1,4,69.3,64904
2026-08-01,Aug 2026,88000,64904,23096,0.2625,-0.0075,40.9,76.8,0.8758,7.2,2.7,81.2,85.6,33,1,73.9,32391
2026-09-01,Sep 2026,88000,32391,55609,0.6319,-0.5009,9.9,78.3,0.8,7.3,2.4,87,88,27.8,2,77,
