date,user_id,financial_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,compliance_score,risk_level,risk_factors
2025-09-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,62,47,59,64,HIGH,High spending pressure; Low study consistency
2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,21,26,41,78,MEDIUM,High spending pressure
2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,62,31,55,68,MEDIUM,High spending pressure; Low study consistency
2025-09-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,29,3,37,84,LOW,High spending pressure
2025-09-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,75,20,16,42,79,MEDIUM,High spending pressure
2025-09-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,36,32,47,73,MEDIUM,High spending pressure
2025-09-12,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,62,32,55,68,MEDIUM,High spending pressure; Low study consistency
2025-09-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,62,16,50,74,MEDIUM,High spending pressure; Low study consistency
2025-09-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,37,29,47,74,MEDIUM,High spending pressure
2025-09-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,33,3,38,83,MEDIUM,High spending pressure
2025-09-16,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,32,3,38,83,MEDIUM,High spending pressure
2025-09-17,6f168c2c-529c-4ec8-9932-90d1b493cf87,65,62,3,47,77,MEDIUM,High spending pressure; Low study consistency
2025-09-18,6f168c2c-529c-4ec8-9932-90d1b493cf87,95,62,16,63,65,HIGH,High spending pressure; Low study consistency
2025-09-19,6f168c2c-529c-4ec8-9932-90d1b493cf87,95,37,33,60,65,HIGH,High spending pressure
2025-09-20,6f168c2c-529c-4ec8-9932-90d1b493cf87,95,62,4,60,69,HIGH,High spending pressure; Low study consistency
2025-09-21,6f168c2c-529c-4ec8-9932-90d1b493cf87,95,44,26,60,66,HIGH,High spending pressure
2025-09-22,6f168c2c-529c-4ec8-9932-90d1b493cf87,95,62,16,63,65,HIGH,High spending pressure; Low study consistency
