session_id,date,user_id,subject,start_time,duration_hours,focus_rating,tool,tasks_planned,tasks_completed,distractions,focus_score,learning_risk_score,risk_marker
f67db6f5-f939-4b37-a79d-6cd847f27170,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,Data Analytics,2025-09-07,2.2,4,Video and notes,2,2,2,79,21,LOW
853c340e-f97e-4556-a7cf-5794cdb7d309,2025-09-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,Data Analytics,2025-09-09,1,4,Practice problems,3,3,1,79,29,LOW
803f1fb9-2e62-4137-a1fb-5f7e4b84545f,2025-09-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,Database Systems,2025-09-10,2.1,4,Video and notes,3,3,0,80,20,LOW
a7a9c89a-b203-419a-a30a-71f1f3185b1f,2025-09-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,Data Structures,2025-09-11,3.1,3,Video and notes,2,2,3,64,36,MEDIUM
aa50970e-a922-430e-a434-54fcfdfa238f,2025-09-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,Database Systems,2025-09-14,2.5,3,Video and notes,5,4,0,63,37,MEDIUM
4d8a8ca2-ad33-458a-a093-46894a736954,2025-09-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,Data Analytics,2025-09-15,2.7,3,Flashcards,3,2,1,67,33,LOW
b19d6788-6ff8-4cc1-aa01-d663eb152f62,2025-09-16,6f168c2c-529c-4ec8-9932-90d1b493cf87,Database Systems,2025-09-16,2.9,3,Practice problems,3,2,0,68,32,LOW
ebf85a69-d960-40dd-a54c-a6d298c02316,2025-09-19,6f168c2c-529c-4ec8-9932-90d1b493cf87,Mathematics,2025-09-19,2.8,3,Practice problems,2,2,0,63,37,MEDIUM
19dbfb1e-fd6c-4e8e-a701-1b61f56607ac,2025-09-21,6f168c2c-529c-4ec8-9932-90d1b493cf87,Database Systems,2025-09-21,1.5,3,Practice problems,4,3,0,60,44,MEDIUM
6df1790f-8304-4257-aeb4-ab9a6bf5bb76,2025-09-23,6f168c2c-529c-4ec8-9932-90d1b493cf87,System Design,2025-09-23,2.7,3,Video and notes,4,3,0,65,35,MEDIUM
53b9a211-64b2-4036-aaeb-8f0548e42d22,2025-09-24,6f168c2c-529c-4ec8-9932-90d1b493cf87,Data Structures,2025-09-24,1.5,4,Video and notes,3,3,1,81,23,LOW
3965c718-3cea-4260-a381-59aa31cc4569,2025-09-25,6f168c2c-529c-4ec8-9932-90d1b493cf87,Mathematics,2025-09-25,1.6,4,Practice problems,3,3,1,77,26,LOW
ff73cbf4-1e21-4ec1-a62b-6c8e980f9e75,2025-09-26,6f168c2c-529c-4ec8-9932-90d1b493cf87,Data Analytics,2025-09-26,1,3,Flashcards,4,3,1,60,48,MEDIUM
37719cee-41aa-4322-a229-c0afb8d22947,2025-09-28,6f168c2c-529c-4ec8-9932-90d1b493cf87,Communication Skills,2025-09-28,1.2,4,Practice problems,6,5,1,76,30,LOW
