week_start,week_end,total_income_inr,total_expenses_inr,net_savings_inr,expense_growth_rate,study_hours,average_focus_score,habit_completion_rate,average_sleep_hours,average_stress_score,goal_progress_score,compliance_score,overall_risk_score,alert_count,productivity_score,next_week_expenses_target_inr,next_week_habit_rate_target
2025-09-01,2025-09-07,0,2522,-2522,,2.2,79,0.425,7.7,2.5,26,71,50,1,58.5,15046,0.6571
2025-09-08,2025-09-14,0,15046,-15046,4.9659,8.7,71.5,0.6571,7.2,2.4,40.6,74.3,47.6,0,64.7,7143,0.8357
2025-09-15,2025-09-21,6409,7143,-734,-0.5253,9.9,64.5,0.8357,7,2.5,48.4,72.6,52.3,0,65.6,2607,0.7286
2025-09-22,2025-09-28,0,2607,-2607,-0.635,8,71.8,0.7286,7.3,2.6,44.6,68.6,57.3,0,69.1,31993,0.65
2025-09-29,2025-10-05,85000,31993,53007,11.272,3.6,78.5,0.65,7.2,2.9,52.4,77.1,43.3,1,58.3,13461,0.5786
2025-10-06,2025-10-12,0,13461,-13461,-0.5793,12.4,82.7,0.5786,7.3,2.5,57.7,83.4,32.6,1,73.7,5197,0.7571
2025-10-13,2025-10-19,0,5197,-5197,-0.6139,4.3,71.5,0.7571,7.2,2.6,57.7,80.4,39.3,0,59.4,6783,0.7571
2025-10-20,2025-10-26,0,6783,-6783,0.3052,7,80.3,0.7571,7.5,2.4,61.6,82.1,36.6,0,69.3,28037,0.5929
2025-10-27,2025-11-02,85000,28037,56963,3.1334,11.6,72.8,0.5929,7.1,2.1,60.1,80.4,37.6,3,66.3,12930,0.8571
2025-11-03,2025-11-09,0,12930,-12930,-0.5388,15.7,82.5,0.8571,7.2,2.2,74,89.7,26.6,0,81.6,15528,0.6214
2025-11-10,2025-11-16,0,15528,-15528,0.2009,2.7,94.5,0.6214,7.1,2,54.9,78.4,41,2,59.4,9833,0.7286
2025-11-17,2025-11-23,8369,9833,-1464,-0.3668,15.5,75.5,0.7286,7.1,2.4,66,83.3,34.6,0,73.3,7300,0.6929
2025-11-24,2025-11-30,0,7300,-7300,-0.2576,11.6,82.3,0.6929,7,2.9,63,79.1,40.6,2,68.3,33598,0.7857
2025-12-01,2025-12-07,85000,33598,51402,3.6025,16.3,77.3,0.7857,7.2,3.1,70.9,87.7,28.7,2,77.9,16228,0.6857
2025-12-08,2025-12-14,0,16228,-16228,-0.517,12.7,84.6,0.6857,7.5,3,68.3,82.4,35.4,2,74.4,6259,0.7929
2025-12-15,2025-12-21,0,6259,-6259,-0.6143,10,74.2,0.7929,7.2,2.9,69.7,82.1,37.3,2,71.7,4746,0.6143
2025-12-22,2025-12-28,0,4746,-4746,-0.2417,19.8,76.6,0.6143,7.3,3.2,65.4,81.7,35.7,1,76.1,26946,0.6214
2025-12-29,2026-01-04,85000,26946,58054,4.6776,14.3,78.2,0.6214,7.4,2.7,74.9,82.7,34.4,1,68.4,17894,0.75
2026-01-05,2026-01-11,0,17894,-17894,-0.3359,7.3,74.8,0.75,7.5,2.6,69,83.3,35,0,68.3,6941,0.65
